2004,Oklahoma,Sooners,32,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,14,B,16*,10,4*,9,20,28,28,12,4,TD,10,,,
11,10,B,3*,3,10,1,INT 13,17*,22,7,4,41,11,,,
12,DEF5X,DEF15,DEF15,DEF15,DEF5X,PI 5,PI 11,PI 9,PI 15,5,2,28,12,,,
13,7,10,B,3,9,10,QR,11,INT 30,8,3,25,13,,,
14,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,2,1,22,14,,,
15,,5*,2*,17,5,9,19,12,20,10,3,25,15,,,
16,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,3,5,40,16,,,
17,4,12,B,10,14,14,12,10*,22*,8,3,TD,17,,,
18,8,18,B,15,10,7,16,12,30,1,4,30,18,,,
19,13,B,B,13,B,B,TD,39,TD,17,6,54,19,,,
20,2,15,4,B,9,QT,22,11,20*,5,1,27,20,,,
21,9,8,8*,7,5,8*,12,10,18,4,,20,21,,,
22,7,,1,2,BLP,2,15,8,21,10,,22,22,,,
23,6,6,4,3,3,INC,8,15,INC,9,,23,23,,,
24,1,1,5,4,10,1,9,11,13,12,,21,24,,,
25,5,2,1,,SOP,10,11,9,10,4,1,31,25,,,
26,6,5,3,2,SOP,12,INC,QR,INC,F-2,,25,26,,,
27,8,16,6,B,3,INC,14,10,QT,6,3,23,27,,,
28,F,F+1,F-1,F+1,F+2,F+6,F+9,F+6,F+24,4,2,30,28,,,
29,14,B,19*,B,18*,INT 2,24,30,TD,6,5,TD,29,,,
30,9,2,1,7,5,2,INC,13,21,5,1,22,30,,,
31,3,2,*,3,8,INC,INC,INC,18,6,F-1,20,31,,,
32,7,8,5,3,1,INC,INC,9,14,10,2,22,32,,,
33,2,5,4*,4,BLP,3*,INC,INC,10,4,,21,33,,,
34,6,7,1,2,SOP,11,10,INC,INC,10,,24,34,,,
35,4,2,7*,6,BLP,2,7,INC,INC,,2,26,35,,,
36,7,1,5,3,1,10,INC,8,INC,2,,21,36,,,
37,3,,6*,2,4,13,6,13,INC,4,,24,37,,,
38,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,13,3,TD,38,,,
39,B,1,B,15,15*,17*,23,INT 10,QT,10,6,32,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,1,-2,,1,2,,,2,3,OFF5,56,49,34,43,DEF5,10
2,1,,,2,,,2,,1,66,16,56*,37,19,15,11
3,,,,,,,2,1,5,58,12,48,DEF15,DEF15,13,12
4,0,0,6,,-1,inc,,QR,6,63,24,37*,7,12,15,13
5,,,5,,,-4,QT,4,10,64,22,42*,10,39,16,14
1,1,0,,-1,5,,,,,62,31,37*,12,OFF15,18,15
2,0,2,-1,1,2,,,,,62,12,30,8,38,13,16
3,0,-1,,0,,,1,,,67,19,62,12,11,15,17
4,,,,,2,,,QR,QT,62,39,55*,F+17,F+5,13,18
5,-2,,-1,2,,-31,QR,3,-9,69,56,59*,50,51,9,19
1,1,1,-2,1,4,6,1,,1,68,DEF15,60,19,13,8,20
2,1,1,,1,2,,,,3,57,OFF15,45*,OFF15,28,10,21
3,,,0,1,2,3,1,2,,61,9,36,14,14,14,22
4,,1,2,0,4,7,QR,QR,,68,16,36*,2,17,6,23
5,,,-1,,6,QT,11,inc,-33,58,18,OFF5,7,24,18,24
1,,,,,3,1,,6,2,63,11,47,TD,,13,25
2,-3,,,,1,,inc,,,61,13,35,4,,18,26
3,2,,,1,2,3,,6,,49,8,35,13,16,9,27
4,-1,,,1,1,5,4,9,14,70,23,42,13,17,10,28
5,1,-2,1,1,,9,INT 10,INT 13,22,49,F+15,50*,40,48,10,29
1,1,1,1,2,1,,4,1,1,61,34,43,3,26,11,30
2,,1,,2,2,,3,2,8,62,8,31*,10,7,10,31
3,2,,2,1,2,,4,2,inc,68,26,46*,,14,10,32
4,,3,2,2,1,-2,10,INT 9,INT 28,61,17,30*,15,6,13,33
5,-1,2,2,2,,,INT 7,-10,INT 34,65,19,44*,5,18,18,34
1,1,1,6,,11,,2,2,QT,64,26,46,2,14,15,35
2,,1,1,4,,10,,3,5,64,14,49,13,,10,36
3,1,2,3,2,,8,QR,QR,3,59,10,36*,3,4,16,37
4,,1,,,1,-5,5,QT,6,50,8,33,5,24,13,38
5,,,9,,,22,QT,-39,INT 23,46,42,66,34,15,OFF5,39
