1988,Oklahoma State,Cowboys,33,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,2,4,B,6,(O),TD,13,8,PI TI,TD,1,-13,10,,,
11,3,OFF R,(O),6,6,12,11,OFF S,T2,19,9,-9,11,,,
12,DEF S,(O),8,OFF S,OFF R,6,OFF S,PI X,35,T1,-3,-6,12,,,
13,OFF R,9,1,DEF R,DEF R,5,8,12,31,20,#NAME?,-2,13,,,
14,4,7,8,-5,8,5,12,19,INC,14,8,11,14,,,
15,4,(O),1,,-4,DEF S,DS,7,T1,12,9,8,15,,,
16,(O),(O),-5,5,8,17,DEF S,OFF R,DEF R,50,-1,,16,,,
17,B,-1,8,B,-3,16,11,14,43,T2,X,X,17,,, 
18,-3,F-2,#NAME?,-3,DS,F+X,T1,32,TD,TD,DS,9,18,Fumble Recovered 10-33  * Lost Ball 34-39,,
19,F,-4,F-DS,F+DS,F+B,INC,TD,T2,F+T1,TD,3,5,19,,,
20,(O),DEF R,OFF R,(O),(O),-4,8,T1,34,TD,-5,-12,20,,,
21,-6,-5,DEF R,2,BLP,1,X,7,30,39,5,-9,21,,,
22,7,2,8,-4,3,4,INC,10,INC,10,,-10,22,,,
23,9,5,(O),6,5,INC,INC,INC,INC,17,8,,23,,,
24,-5,-5,-5,2,(B),INC,X,DS,INC,19,-4,#NAME?,24,,,
25,B,B,B,B,6,INC,INC,INC,INC,14,-2,-6,25,,,
26,(O),(O),(O),-5,8,6,INC,11,INC,18,-3,-3,26,,,
27,(O),(O),(O),(O),2,9,6,12,39,40,8,-11,27,,,
28,8,2,(O),6,10,7,PI 7,DEF R,TD,53,-4,F-8,28,,,
29,5,7,7,(O),-2,35,INT 6,INT 16,INT T1,TD,F+DS,F-DS,29,,,
30,3,8,-6,(O),SOP,OFF R,4,X,T1,TD,8,2,30,,,
31,5,7,1,-5,(O),2,INC,X,QT,13,3,5,31,,,
32,4,8,3,2,B,,T1,INC,OFF S,14,2,#NAME?,32,,,
33,-5,-5,8,1,-8,,6,INC,QT,10,5,,33,,,
34,(B),(B),(B),(B),SOP,-2,7,INC,INC,16,1,DS,34,,,
35,-5,6,-5,(O),BLP,X,8,INC,INC,13,3,-7,35,,,
36,8,-4,3,8,-6,-2,DS,X,INC,13,1,-9,36,,,
37,10,-4,2,-5,5,6,17,17,INC,16,3,-3,37,,,
38,(O),5,5,10,3,7,13,8,INC,TD,3,-5,38,,,
39,(O),5,4,(O),-2,T1,11,16,TD,TD,5,-4,39,,,
